clock-1      | [Clock] 134:snake_length=4 eaten_apples=1 loss=-0.092 policy_loss=0.016 entropy_mean=1.079 grad_norm=0.155 frames=91  sum_reward=91
clock-1      | [Clock] 135:snake_length=5 eaten_apples=2 loss=-0.093 policy_loss=0.015 entropy_mean=1.079 grad_norm=0.120 frames=92  sum_reward=93
clock-1      | [Clock] 136:snake_length=3 eaten_apples=0 loss=-0.146 policy_loss=-0.038 entropy_mean=1.079 grad_norm=0.137 frames=367  sum_reward=366
clock-1      | [Clock] 137:snake_length=3 eaten_apples=0 loss=-0.216 policy_loss=-0.108 entropy_mean=1.079 grad_norm=0.562 frames=17  sum_reward=16
clock-1      | [Clock] 138:snake_length=3 eaten_apples=0 loss=-0.112 policy_loss=-0.004 entropy_mean=1.079 grad_norm=0.058 frames=425  sum_reward=424
clock-1      | [Clock] 139:snake_length=3 eaten_apples=0 loss=-0.105 policy_loss=0.003 entropy_mean=1.079 grad_norm=0.085 frames=80  sum_reward=79
clock-1      | [Clock] 140:snake_length=3 eaten_apples=0 loss=-0.102 policy_loss=0.006 entropy_mean=1.079 grad_norm=0.058 frames=227  sum_reward=226
clock-1      | [Clock] 141:snake_length=3 eaten_apples=0 loss=-0.110 policy_loss=-0.002 entropy_mean=1.079 grad_norm=0.029 frames=266  sum_reward=265
clock-1      | [Clock] 142:snake_length=3 eaten_apples=0 loss=-0.136 policy_loss=-0.028 entropy_mean=1.079 grad_norm=0.099 frames=166  sum_reward=165
clock-1      | [Clock] 143:snake_length=3 eaten_apples=0 loss=-0.106 policy_loss=0.002 entropy_mean=1.079 grad_norm=0.153 frames=28  sum_reward=27
clock-1      | [Clock] 144:snake_length=3 eaten_apples=0 loss=-0.071 policy_loss=0.037 entropy_mean=1.078 grad_norm=0.171 frames=42  sum_reward=41
clock-1      | [Clock] 145:snake_length=4 eaten_apples=1 loss=-0.106 policy_loss=0.002 entropy_mean=1.078 grad_norm=0.069 frames=436  sum_reward=436
clock-1      | [Clock] 146:snake_length=3 eaten_apples=0 loss=-0.106 policy_loss=0.002 entropy_mean=1.079 grad_norm=0.104 frames=193  sum_reward=192
clock-1      | [Clock] 147:snake_length=3 eaten_apples=0 loss=-0.151 policy_loss=-0.043 entropy_mean=1.079 grad_norm=0.165 frames=87  sum_reward=86
clock-1      | [Clock] 148:snake_length=3 eaten_apples=0 loss=-0.129 policy_loss=-0.022 entropy_mean=1.078 grad_norm=0.076 frames=500  sum_reward=499
clock-1      | [Clock] 149:snake_length=3 eaten_apples=0 loss=-0.155 policy_loss=-0.047 entropy_mean=1.078 grad_norm=0.175 frames=152  sum_reward=151
clock-1      | [Clock] 150:snake_length=3 eaten_apples=0 loss=-0.165 policy_loss=-0.057 entropy_mean=1.078 grad_norm=0.197 frames=122  sum_reward=121
clock-1      | [Clock] 151:snake_length=3 eaten_apples=0 loss=-0.148 policy_loss=-0.040 entropy_mean=1.078 grad_norm=0.134 frames=51  sum_reward=50
